                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
Piccini 2018                                         -0.207141   0.078085    -2.652756      0.00798590                    -0.360188                    -0.054094
Piccini 2019                                         -0.296304   0.075347    -3.932537    0.00008415**                    -0.443985                    -0.148624
Piccini 2020                                         -0.371997   0.084598    -4.397238   0.00001098***                    -0.537810                    -0.206185
Pico Cuadro 2012                                     -0.265437   0.286791    -0.925542      0.35468761                    -0.827549                     0.296675
Pico Maccario 2016                                   -0.122025   0.181391    -0.672718      0.50112927                    -0.477553                     0.233502
Pietro di Campo 2018                                 -0.082216   0.286791    -0.286677      0.77436074                    -0.644328                     0.479896
Pinhal Da Torre 2015                                 -0.152192   0.165589    -0.919096      0.35804932                    -0.476748                     0.172363
Pinord 2009                                          -0.272530   0.153308    -1.777661      0.07546466                    -0.573015                     0.027955
Pinord 2011                                          -0.332766   0.135209    -2.461113      0.01385353                    -0.597777                    -0.067755
Pinord 2012                                          -0.275558   0.135209    -2.038011      0.04155329                    -0.540570                    -0.010547
Pinord 2013                                          -0.250573   0.128273    -1.953437      0.05077258                    -0.501989                     0.000842
Pinord 2015                                          -0.122498   0.135209    -0.905989      0.36494526                    -0.387510                     0.142513
Pinord 2016                                          -0.227602   0.135209    -1.683330      0.09231651                    -0.492613                     0.037409
Pintia 2008                                           0.511537   0.405578     1.261254      0.20722226                    -0.283397                     1.306470
Pintia 2010                                           0.561136   0.405578     1.383548      0.16650225                    -0.233798                     1.356070
Pintia 2011                                           0.592661   0.405578     1.461276      0.14394492                    -0.202273                     1.387595
Pintia 2012                                           0.584670   0.405578     1.441575      0.14942771                    -0.210263                     1.379604
Pintia 2013                                           0.628968   0.405578     1.550794      0.12095635                    -0.165966                     1.423901
Pintia 2014                                           0.646068   0.405578     1.592957      0.11117511                    -0.148866                     1.441002
Pintia 2015                                           0.697251   0.405578     1.719157      0.08559112                    -0.097682                     1.492185
Pio Cesare 2009                                       0.206999   0.135209     1.530953      0.12578632                    -0.058012                     0.472011
Pio Cesare 2010                                       0.205168   0.135209     1.517411      0.12916838                    -0.059843                     0.470180
Pio Cesare 2011                                       0.267626   0.135209     1.979342      0.04778211                     0.002615                     0.532637
Pio Cesare 2012                                       0.095328   0.135209     0.705038      0.48078959                    -0.169683                     0.360339
Pio Cesare 2013                                       0.198623   0.135209     1.469001      0.14183776                    -0.066388                     0.463634
Pio Cesare 2014                                       0.047906   0.135209     0.354310      0.72310806                    -0.217105                     0.312917
Pio Cesare 2015                                       0.209419   0.135209     1.548847      0.12142377                    -0.055592                     0.474430
Pio Cesare 2016                                       0.203937   0.135209     1.508304      0.13148217                    -0.061074                     0.468948
Pio Cesare 2017                                       0.364828   0.135209     2.698244      0.00697262                     0.099817                     0.629839
Pipeta 2014                                          -0.228893   0.405578    -0.564362      0.57251007                    -1.023826                     0.566041
Pirovano 2016                                        -0.197272   0.128273    -1.537906      0.12407685                    -0.448687                     0.054144
Pirovano 2017                                        -0.342436   0.128273    -2.669587      0.00759653                    -0.593852                    -0.091020
Pisano 2011                                          -0.114936   0.101418    -1.133283      0.25710015                    -0.313716                     0.083845
Pisano 2013                                          -0.174177   0.108417    -1.606545      0.10815965                    -0.386675                     0.038321
Pisano 2015                                           0.009707   0.108417     0.089530      0.92866137                    -0.202792                     0.222205
Piteira 2017                                         -0.125963   0.202798    -0.621122      0.53452168                    -0.523448                     0.271523
Pizzato 2011                                         -0.315929   0.122305    -2.583112      0.00979373                    -0.555648                    -0.076210
Pizzato 2012                                         -0.163078   0.117100    -1.392635      0.16373532                    -0.392595                     0.066439
Pizzato 2013                                         -0.116687   0.117100    -0.996470      0.31902587                    -0.346204                     0.112830
Pizzato 2014                                          0.006498   0.108417     0.059937      0.95220636                    -0.206000                     0.218996
Pizzato 2015                                         -0.039960   0.104743    -0.381505      0.70282959                    -0.245256                     0.165336
Pizzato 2016                                         -0.090090   0.108417    -0.830953      0.40600368                    -0.302588                     0.122409
Pizzato 2017                                          0.020456   0.108417     0.188676      0.85034765                    -0.192043                     0.232954
Pizzato 2018                                         -0.037936   0.108417    -0.349909      0.72640860                    -0.250434                     0.174562
Pizzato 2019                                         -0.054214   0.104743    -0.517592      0.60474510                    -0.259510                     0.151082
Pizzato 2020                                         -0.052966   0.112508    -0.470779      0.63780039                    -0.273483                     0.167550
Planeta 2010                                         -0.095875   0.143409    -0.668543      0.50378967                    -0.376958                     0.185207
Planeta 2011                                         -0.149698   0.135209    -1.107153      0.26823228                    -0.414709                     0.115314
Planeta 2012                                         -0.029584   0.128273    -0.230637      0.81759789                    -0.281000                     0.221831
Planeta 2013                                         -0.158158   0.135209    -1.169728      0.24211534                    -0.423169                     0.106853
Planeta 2014                                         -0.070737   0.135209    -0.523167      0.60086001                    -0.335748                     0.194274
Planeta 2015                                          0.017938   0.135209     0.132667      0.89445730                    -0.247073                     0.282949
Planeta 2016                                         -0.078161   0.128273    -0.609334      0.54230568                    -0.329577                     0.173255
Planeta 2017                                         -0.136758   0.128273    -1.066151      0.28635967                    -0.388174                     0.114657
Planeta 2018                                         -0.132336   0.128273    -1.031673      0.30222972                    -0.383751                     0.119080
Poderi dal Nespoli 2016                              -0.087613   0.128273    -0.683023      0.49459522                    -0.339029                     0.163802
Poderi dal Nespoli 2017                              -0.029831   0.122305    -0.243905      0.80730538                    -0.269550                     0.209888
Poderi dal Nespoli 2018                              -0.030182   0.122305    -0.246773      0.80508487                    -0.269901                     0.209537
Poggio Al Casone 2013                                -0.190668   0.202798    -0.940183      0.34712758                    -0.588153                     0.206818
Poggio Al Casone 2015                                -0.279337   0.202798    -1.377411      0.16839048                    -0.676822                     0.118149
Poggio Al Casone 2016                                -0.411182   0.202798    -2.027541      0.04261158                    -0.808668                    -0.013696
Poggio Al Tesoro 2013                                 0.267649   0.181391     1.475537      0.14007363                    -0.087878                     0.623177
Poggio Al Tesoro 2015                                 0.280254   0.181391     1.545024      0.12234586                    -0.075274                     0.635781
Poggio Al Tesoro 2016                                 0.358356   0.181391     1.975595      0.04820532                     0.002828                     0.713883
Poggio Al Tesoro 2017                                 0.498896   0.202798     2.460060      0.01389422                     0.101411                     0.896382
Poggio le Volpi 2016                                  0.048298   0.181391     0.266267      0.79003469                    -0.307229                     0.403826
Poggio le Volpi 2017                                  0.026239   0.181391     0.144653      0.88498541                    -0.329289                     0.381766
Poggio le Volpi 2018                                  0.197368   0.202798     0.973224      0.33044589                    -0.200117                     0.594854
Poliziano 2011                                        0.005851   0.135209     0.043271      0.96548570                    -0.259161                     0.270862
Poliziano 2012                                        0.025419   0.135209     0.187996      0.85088012                    -0.239592                     0.290430
Poliziano 2013                                        0.028730   0.135209     0.212482      0.83173181                    -0.236282                     0.293741
Poliziano 2014                                       -0.000987   0.135209    -0.007301      0.99417484                    -0.265998                     0.264024
Poliziano 2015                                        0.142420   0.128273     1.110285      0.26688089                    -0.108996                     0.393835
Poliziano 2016                                        0.085561   0.117100     0.730661      0.46498944                    -0.143957                     0.315078
Poliziano 2019                                        0.111833   0.122305     0.914378      0.36052178                    -0.127886                     0.351553
Ponte Lungo 2015                                      0.092280   0.286791     0.321768      0.74762942                    -0.469832                     0.654392
Ponte Lungo 2016                                      0.155105   0.234168     0.662366      0.50773897                    -0.303865                     0.614075
Ponte Lungo 2017                                      0.004850   0.286791     0.016910      0.98650857                    -0.557262                     0.566962
Porca de Murca 2011                                  -0.556503   0.286791    -1.940447      0.05233011                    -1.118615                     0.005609
Porca de Murca 2012                                  -0.671745   0.234168    -2.868649      0.00412375                    -1.130715                    -0.212775
Porca de Murca 2013                                  -0.119939   0.234168    -0.512191      0.60851929                    -0.578908                     0.339031
Porca de Murca 2014                                   0.188123   0.234168     0.803370      0.42176430                    -0.270846                     0.647093
Porca de Murca 2015                                  -0.092110   0.286791    -0.321173      0.74808049                    -0.654222                     0.470002
Porca de Murca 2017                                   0.179448   0.234168     0.766323      0.44348727                    -0.279522                     0.638418
Porta 6 2013                                         -0.058052   0.405578    -0.143133      0.88618559                    -0.852985                     0.736882
Porta 6 2015                                          0.084852   0.286791     0.295869      0.76733152                    -0.477259                     0.646964
Porta 6 2016                                          0.090677   0.286791     0.316178      0.75186873                    -0.471435                     0.652789
Porta 6 2017                                         -0.034503   0.286791    -0.120307      0.90424034                    -0.596615                     0.527609
Porta 6 2018                                          0.042687   0.286791     0.148845      0.88167636                    -0.519424                     0.604799
Portada 2015                                         -0.038163   0.234168    -0.162973      0.87054059                    -0.497133                     0.420807
Portada 2016                                         -0.124214   0.202798    -0.612501      0.54020858                    -0.521700                     0.273271
Portada 2017                                         -0.050283   0.202798    -0.247944      0.80417892                    -0.447768                     0.347203
Portada 2018                                          0.064153   0.202798     0.316341      0.75174467                    -0.333332                     0.461639
Portia 2016                                          -0.258304   0.143409    -1.801168      0.07168157                    -0.539386                     0.022779
Prats & Symington (P+S) 2011                          0.242337   0.234168     1.034886      0.30072629                    -0.216633                     0.701307
Prats & Symington (P+S) 2014                          0.254619   0.202798     1.255525      0.20929303                    -0.142867                     0.652104
Prats & Symington (P+S) 2015                          0.299952   0.202798     1.479063      0.13912878                    -0.097534                     0.697437
Prats & Symington (P+S) 2016                          0.342746   0.202798     1.690081      0.09101767                    -0.054740                     0.740231
Prats & Symington (P+S) 2017                          0.338977   0.234168     1.447583      0.14773898                    -0.119992                     0.797947
Prayers Of Sinners & Saints 2017                     -0.006747   0.405578    -0.016634      0.98672839                    -0.801680                     0.788187
Precision 2018                                        0.144923   0.286791     0.505325      0.61333245                    -0.417189                     0.707035
Premier Rendez-Vous 2016                              0.054977   0.234168     0.234776      0.81438361                    -0.403993                     0.513947
Premier Rendez-Vous 2017                              0.063641   0.234168     0.271774      0.78579687                    -0.395329                     0.522610
Premier Rendez-Vous 2018                              0.045922   0.234168     0.196106      0.84452781                    -0.413048                     0.504891
Premier Rendez-Vous 2019                              0.140303   0.234168     0.599154      0.54907222                    -0.318667                     0.599272
Primus 2014                                           0.051404   0.234168     0.219517      0.82624837                    -0.407566                     0.510373
Primus 2015                                          -0.050641   0.234168    -0.216260      0.82878581                    -0.509611                     0.408329
Productores Y Transformadores Vinícolas S.L. 2019     0.014448   0.286791     0.050380      0.95982005                    -0.547664                     0.576560
Produttori Vini Manduria 2015                         0.010118   0.143409     0.070555      0.94375220                    -0.270964                     0.291201
Produttori Vini Manduria 2017                         0.089087   0.143409     0.621209      0.53446459                    -0.191995                     0.370169
Produttori del Barbaresco 2007                        0.430109   0.128273     3.353076     0.00079969*                     0.178693                     0.681525
Produttori del Barbaresco 2008                        0.330059   0.128273     2.573099      0.01008166                     0.078643                     0.581475
Produttori del Barbaresco 2009                        0.286850   0.128273     2.236250      0.02533914                     0.035435                     0.538266
Produttori del Barbaresco 2011                        0.325138   0.128273     2.534734      0.01125585                     0.073722                     0.576554
Produttori del Barbaresco 2012                        0.059937   0.143409     0.417946      0.67598823                    -0.221145                     0.341020
Produttori del Barbaresco 2013                        0.285869   0.128273     2.228596      0.02584452                     0.034453                     0.537284
Produttori del Barbaresco 2014                        0.290811   0.128273     2.267123      0.02338634                     0.039395                     0.542226
Produttori del Barbaresco 2015                        0.375159   0.128273     2.924689      0.00344932                     0.123743                     0.626574
Produttori del Barbaresco 2016                        0.491289   0.128273     3.830024    0.00012826**                     0.239873                     0.742704
Produttori del Barbaresco 2017                        0.225983   0.153308     1.474041      0.14047590                    -0.074502                     0.526468
Produttori del Barbaresco 2018                        0.311759   0.143409     2.173914      0.02971558                     0.030677                     0.592841
Prophecy 2015                                        -0.264525   0.286791    -0.922359      0.35634495                    -0.826636                     0.297587
Protos 2009                                           0.111679   0.143409     0.778745      0.43613281                    -0.169403                     0.392762
Protos 2010                                           0.187319   0.143409     1.306187      0.19149403                    -0.093763                     0.468401
Protos 2011                                           0.230502   0.143409     1.607307      0.10799248                    -0.050580                     0.511585
Protos 2012                                           0.066682   0.143409     0.464978      0.64194860                    -0.214400                     0.347765
Protos 2013                                           0.005920   0.143409     0.041280      0.96707246                    -0.275162                     0.287002
Protos 2014                                           0.305476   0.143409     2.130101      0.03316739                     0.024393                     0.586558
Protos 2015                                           0.284287   0.143409     1.982350      0.04744471                     0.003205                     0.565369
Protos 2016                                           0.371730   0.143409     2.592094      0.00954171                     0.090647                     0.652812
Protos 2017                                           0.267868   0.143409     1.867860      0.06178651                    -0.013214                     0.548951
Protos 2018                                           0.225630   0.153308     1.471742      0.14109576                    -0.074855                     0.526115
Protos 2019                                           0.281130   0.143409     1.960339      0.04996087                     0.000048                     0.562213
Protos 2020                                           0.194246   0.202798     0.957830      0.33815242                    -0.203239                     0.591732
Prunotto 2010                                        -0.049931   0.112508    -0.443800      0.65718852                    -0.270448                     0.170585
Prunotto 2011                                        -0.025739   0.101418    -0.253794      0.79965582                    -0.224519                     0.173041
Prunotto 2012                                        -0.073903   0.108417    -0.681656      0.49545930                    -0.286402                     0.138595
Prunotto 2013                                         0.027661   0.101418     0.272739      0.78505446                    -0.171119                     0.226441
Prunotto 2014                                        -0.115638   0.112508    -1.027816      0.30404071                    -0.336154                     0.104879
Prunotto 2015                                         0.076019   0.098392     0.772617      0.43975204                    -0.116829                     0.268867
Prunotto 2016                                         0.159816   0.104743     1.525800      0.12706508                    -0.045480                     0.365112
Prunotto 2017                                         0.156148   0.101418     1.539648      0.12365156                    -0.042632                     0.354929
Prunotto 2018                                         0.124402   0.112508     1.105718      0.26885302                    -0.096114                     0.344919
Prunotto 2019                                         0.210118   0.108417     1.938051      0.05262178                    -0.002380                     0.422616
Prunotto 2020                                         0.157326   0.108417     1.451120      0.14675190                    -0.055172                     0.369825
Pueblo del Sol 2014                                  -0.808474   0.202798    -3.986588    0.00006711**                    -1.205959                    -0.410988
Pueblo del Sol 2016                                  -0.445838   0.202798    -2.198428      0.02792251                    -0.843323                    -0.048352
Pulenta Estate 2009                                   0.242412   0.108417     2.235921      0.02536064                     0.029914                     0.454911
Pulenta Estate 2010                                   0.312921   0.112508     2.781321      0.00541554                     0.092405                     0.533438
Pulenta Estate 2011                                   0.155963   0.108417     1.438548      0.15028386                    -0.056535                     0.368462
Pulenta Estate 2012                                   0.208677   0.104743     1.992284      0.04634450                     0.003381                     0.413973
Pulenta Estate 2013                                   0.247124   0.104743     2.359348      0.01831029                     0.041828                     0.452421
Pulenta Estate 2014                                   0.321093   0.108417     2.961641      0.00306126                     0.108595                     0.533591
Pulenta Estate 2015                                   0.210537   0.108417     1.941913      0.05215237                    -0.001961                     0.423035
Pulenta Estate 2016                                   0.290688   0.108417     2.681196      0.00733800                     0.078190                     0.503186
Pulenta Estate 2017                                   0.307515   0.098392     3.125412      0.00177642                     0.114666                     0.500363
Pulenta Estate 2018                                   0.306538   0.101418     3.022518      0.00250789                     0.107758                     0.505319
Pulenta Estate 2019                                   0.179859   0.098392     1.827987      0.06755652                    -0.012989                     0.372707
Pulenta Estate 2020                                   0.138790   0.108417     1.280146      0.20049878                    -0.073708                     0.351288
Pêra Grave 2012                                       0.404440   0.202798     1.994297      0.04612419                     0.006955                     0.801926
Pêra Grave 2013                                       0.435932   0.202798     2.149582      0.03159233                     0.038446                     0.833417
Quarisa 2016                                         -0.009954   0.165589    -0.060115      0.95206436                    -0.334510                     0.314601
Quarisa 2017                                         -0.315474   0.153308    -2.057773      0.03961636                    -0.615959                    -0.014989
Quarisa 2019                                          0.116746   0.165589     0.705036      0.48079052                    -0.207809                     0.441302
Quilt 2016                                            0.633891   0.234168     2.706995      0.00679149                     0.174921                     1.092860
Quilt 2017                                            0.523769   0.234168     2.236726      0.02530799                     0.064799                     0.982739
Quinta Nova de Nossa Senhora do Carmo 2011            0.265822   0.143409     1.853595      0.06380213                    -0.015260                     0.546905
Quinta Nova de Nossa Senhora do Carmo 2015            0.316389   0.135209     2.339992      0.01928749                     0.051378                     0.581400
Quinta Nova de Nossa Senhora do Carmo 2016            0.316159   0.135209     2.338287      0.01937570                     0.051147                     0.581170
Quinta Nova de Nossa Senhora do Carmo 2017            0.460133   0.128273     3.587140     0.00033459*                     0.208718                     0.711549
Quinta Nova de Nossa Senhora do Carmo 2018            0.417180   0.135209     3.085432      0.00203351                     0.152169                     0.682191
Quinta Nova de Nossa Senhora do Carmo 2019            0.412940   0.128273     3.219230     0.00128605*                     0.161525                     0.664356
Quinta da Alorna 2015                                 0.005932   0.165589     0.035826      0.97142123                    -0.318623                     0.330488
Quinta da Alorna 2016                                 0.108206   0.165589     0.653462      0.51346114                    -0.216350                     0.432762
Quinta da Fronteira 2011                             -0.279023   0.234168    -1.191550      0.23344248                    -0.737992                     0.179947
Quinta da Romaneira 2010                              0.107759   0.153308     0.702893      0.48212497                    -0.192726                     0.408244
Quinta da Romaneira 2014                              0.223651   0.143409     1.559533      0.11887571                    -0.057431                     0.504734
Quinta das Amoras 2018                                0.144499   0.234168     0.617074      0.53718810                    -0.314471                     0.603469
Quinta de Bons-Ventos 2013                           -0.518552   0.286791    -1.808116      0.07059349                    -1.080664                     0.043560
Quinta de Bons-Ventos 2014                           -0.360264   0.286791    -1.256191      0.20905175                    -0.922376                     0.201847
Quinta de Bons-Ventos 2015                           -0.025319   0.286791    -0.088285      0.92965018                    -0.587431                     0.536792
Quinta de Bons-Ventos 2016                            0.086958   0.286791     0.303211      0.76173018                    -0.475154                     0.649070
Quinta de Bons-Ventos 2017                            0.063757   0.286791     0.222313      0.82407098                    -0.498355                     0.625869
Quinta de Bons-Ventos 2018                           -0.031695   0.286791    -0.110517      0.91199996                    -0.593807                     0.530417
Quinta de Bons-Ventos 2019                            0.609915   0.286791     2.126686      0.03345031                     0.047803                     1.172027
Quinta de Pancas 2012                                -0.291214   0.143409    -2.030649      0.04229505                    -0.572296                    -0.010131
Quinta de Pancas 2014                                -0.285000   0.135209    -2.107839      0.03504911                    -0.550011                    -0.019989
Quinta de São Sebastião 2019                         -0.055475   0.122305    -0.453576      0.65013570                    -0.295194                     0.184244
Quinta de São Sebastião 2020                         -0.069600   0.122305    -0.569067      0.56931295                    -0.309319                     0.170119
Quinta do Cardo 2011                                 -0.403278   0.202798    -1.988568      0.04675356                    -0.800764                    -0.005793
Quinta do Carmo 2013                                  0.138829   0.202798     0.684566      0.49362035                    -0.258657                     0.536315
Quinta do Conde 2016                                 -0.111029   0.135209    -0.821164      0.41155616                    -0.376040                     0.153982
Quinta do Conde 2017                                 -0.182153   0.135209    -1.347190      0.17792406                    -0.447164                     0.082858
Quinta do Crasto 2009                                 0.320557   0.135209     2.370818      0.01775195                     0.055546                     0.585568
Quinta do Crasto 2010                                 0.187483   0.143409     1.307333      0.19110465                    -0.093599                     0.468566
Quinta do Crasto 2011                                 0.376393   0.128273     2.934312      0.00334417                     0.124977                     0.627809
Quinta do Crasto 2012                                 0.455293   0.128273     3.549403     0.00038641*                     0.203877                     0.706708
Quinta do Crasto 2013                                 0.350454   0.128273     2.732091      0.00629525                     0.099038                     0.601869
Quinta do Crasto 2014                                 0.384969   0.128273     3.001172      0.00269055                     0.133554                     0.636385
Quinta do Crasto 2015                                 0.540815   0.128273     4.216126   0.00002489***                     0.289400                     0.792231
Quinta do Crasto 2016                                 0.496273   0.128273     3.868878    0.00010945**                     0.244857                     0.747688
Quinta do Crasto 2017                                 0.454988   0.128273     3.547031     0.00038990*                     0.203573                     0.706404
Quinta do Crasto 2018                                 0.440438   0.135209     3.257452     0.00112481*                     0.175427                     0.705450
Quinta do Crasto 2019                                 0.476949   0.135209     3.527481     0.00041985*                     0.211938                     0.741960
Quinta do Noval 2010                                  0.113381   0.181391     0.625061      0.53193315                    -0.242147                     0.468908
Quinta do Noval 2015                                  0.251652   0.181391     1.387345      0.16534186                    -0.103875                     0.607180
Quinta do Noval 2016                                  0.283316   0.143409     1.975576      0.04820750                     0.002233                     0.564398
Quinta do Noval 2017                                  0.374265   0.143409     2.609771      0.00906256                     0.093183                     0.655347
Quinta do Portal 2011                                -0.208993   0.101418    -2.060705      0.03933557                    -0.407773                    -0.010213
Quinta do Portal 2013                                -0.083551   0.104743    -0.797679      0.42505996                    -0.288847                     0.121745
Quinta do Portal 2014                                -0.183299   0.098392    -1.862952      0.06247404                    -0.376147                     0.009549
Quinta do Portal 2016                                -0.062809   0.104743    -0.599649      0.54874221                    -0.268105                     0.142487
Quinta do Portal 2017                                -0.064843   0.108417    -0.598088      0.54978366                    -0.277341                     0.147655
Quinta do Vale Meão 2011                              0.404199   0.234168     1.726108      0.08433328                    -0.054771                     0.863168
Quinta do Vale Meão 2012                              0.433065   0.234168     1.849381      0.06440777                    -0.025904                     0.892035
Quinta do Vale Meão 2013                              0.512789   0.234168     2.189835      0.02854007                     0.053819                     0.971758
Quinta do Vale Meão 2014                              0.558377   0.234168     2.384519      0.01710461                     0.099408                     1.017347
Quinta do Vale Meão 2015                              0.611167   0.234168     2.609955      0.00905771                     0.152197                     1.070137
Quinta do Vale Meão 2016                             -0.346282   0.202798    -1.707519      0.08773085                    -0.743768                     0.051204
Quinta do Vale Meão 2017                              0.277263   0.181391     1.528535      0.12638523                    -0.078265                     0.632790
Quinta do Vallado 2011                                0.076281   0.165589     0.460666      0.64504002                    -0.248274                     0.400837
Quinta do Vallado 2012                                0.161370   0.153308     1.052585      0.29253532                    -0.139115                     0.461855
Quinta do Vallado 2013                                0.089342   0.153308     0.582762      0.56005558                    -0.211143                     0.389827
Quinta do Vallado 2014                                0.198249   0.135209     1.466239      0.14258841                    -0.066762                     0.463261
Quinta do Vallado 2015                                0.300436   0.128273     2.342162      0.01917569                     0.049021                     0.551852
Quinta do Vallado 2016                                0.187984   0.122305     1.537003      0.12429781                    -0.051735                     0.427703
Quinta do Vallado 2017                                0.236571   0.122305     1.934265      0.05308534                    -0.003148                     0.476290
Quinta do Vallado 2018                                0.375809   0.128273     2.929755      0.00339359                     0.124393                     0.627224
Quinta do Vallado 2019                                0.293411   0.128273     2.287394      0.02217635                     0.041995                     0.544827
R. López de Heredia Viña Tondonia 2002                0.179220   0.234168     0.765351      0.44406587                    -0.279749                     0.638190
R. López de Heredia Viña Tondonia 2003                0.149407   0.234168     0.638035      0.52345330                    -0.309562                     0.608377
R. López de Heredia Viña Tondonia 2004                0.131295   0.234168     0.560686      0.57501360                    -0.327675                     0.590264
R. López de Heredia Viña Tondonia 2005                0.255307   0.234168     1.090272      0.27559758                    -0.203663                     0.714276
R. López de Heredia Viña Tondonia 2006                0.170601   0.234168     0.728540      0.46628589                    -0.288369                     0.629570
R. López de Heredia Viña Tondonia 2007                0.220196   0.234168     0.940334      0.34705011                    -0.238774                     0.679166
R. López de Heredia Viña Tondonia 2008                0.239159   0.234168     1.021314      0.30710985                    -0.219811                     0.698128
R. López de Heredia Viña Tondonia 2009                0.234795   0.234168     1.002681      0.31601906                    -0.224174                     0.693765
R. López de Heredia Viña Tondonia 2011               -0.015623   0.234168    -0.066717      0.94680687                    -0.474593                     0.443347
Rabble 2016                                          -0.060694   0.234168    -0.259192      0.79548802                    -0.519664                     0.398275
Ramos Pinto 2013                                     -0.035693   0.181391    -0.196772      0.84400681                    -0.391220                     0.319835
Ramos Pinto 2014                                      0.059495   0.181391     0.327992      0.74291916                    -0.296033                     0.415022
Ramón Bilbao 2009                                     0.109120   0.143409     0.760900      0.44672003                    -0.171962                     0.390202
Ramón Bilbao 2010                                    -0.191507   0.128273    -1.492961      0.13545269                    -0.442922                     0.059909
Ramón Bilbao 2011                                     0.036960   0.128273     0.288137      0.77324302                    -0.214455                     0.288376
Ramón Bilbao 2012                                    -0.019775   0.135209    -0.146258      0.88371806                    -0.284787                     0.245236
Ramón Bilbao 2013                                    -0.104717   0.128273    -0.816364      0.41429533                    -0.356133                     0.146698
Ramón Bilbao 2014                                     0.049120   0.117100     0.419472      0.67487269                    -0.180397                     0.278638
Ramón Bilbao 2015                                     0.219407   0.112508     1.950143      0.05116378                    -0.001109                     0.439923
Ramón Bilbao 2016                                     0.157438   0.117100     1.344467      0.17880272                    -0.072080                     0.386955
Ramón Bilbao 2017                                     0.278381   0.117100     2.377286      0.01744373                     0.048864                     0.507898
Ramón Bilbao 2020                                     0.175789   0.135209     1.300121      0.19356452                    -0.089222                     0.440800
Rapariga da Quinta 2012                              -0.087760   0.234168    -0.374776      0.70782873                    -0.546730                     0.371209
Rapariga da Quinta 2014                              -0.230789   0.234168    -0.985570      0.32434810                    -0.689758                     0.228181
Rapariga da Quinta 2015                              -0.085238   0.234168    -0.364005      0.71585582                    -0.544208                     0.373732
Rapariga da Quinta 2016                              -0.022671   0.234168    -0.096816      0.92287276                    -0.481641                     0.436298
Rapariga da Quinta 2017                              -0.011231   0.234168    -0.047962      0.96174669                    -0.470201                     0.447739
Ravage 2014                                          -0.038628   0.234168    -0.164958      0.86897723                    -0.497598                     0.420342
Ravage 2015                                           0.107840   0.234168     0.460527      0.64514005                    -0.351129                     0.566810
Ravage 2016                                          -0.009711   0.234168    -0.041470      0.96692155                    -0.468681                     0.449259
Ravanal 2014                                         -0.326288   0.112508    -2.900127      0.00373149                    -0.546804                    -0.105772
Ravanal 2016                                         -0.243352   0.117100    -2.078148      0.03770002                    -0.472869                    -0.013835
Ravanal 2017                                         -0.351015   0.112508    -3.119911      0.00180993                    -0.571532                    -0.130499
Ravanal 2018                                         -0.235536   0.108417    -2.172493      0.02982247                    -0.448034                    -0.023037
Ravenswood 2010                                      -0.161108   0.098392    -1.637418      0.10154852                    -0.353956                     0.031740
Ravenswood 2011                                      -0.201754   0.101418    -1.989325      0.04666991                    -0.400534                    -0.002974
Ravenswood 2012                                      -0.175066   0.098392    -1.779272      0.07520036                    -0.367914                     0.017783
Ravenswood 2013                                      -0.255312   0.098392    -2.594854      0.00946544                    -0.448160                    -0.062464
Ravenswood 2014                                      -0.006116   0.098392    -0.062159      0.95043612                    -0.198964                     0.186732
Ravenswood 2015                                      -0.150144   0.108417    -1.384871      0.16609708                    -0.362642                     0.062354
Ravenswood 2016                                      -0.213840   0.112508    -1.900662      0.05735113                    -0.434356                     0.006676
Rawson's Retreat 2016                                -0.545213   0.153308    -3.556314     0.00037639*                    -0.845698                    -0.244728
Rawson's Retreat 2017                                -0.490140   0.165589    -2.959973      0.00307788                    -0.814696                    -0.165584
Raymond 2012                                          0.042217   0.128273     0.329120      0.74206614                    -0.209198                     0.293633
Raymond 2013                                         -0.100868   0.128273    -0.786350      0.43166537                    -0.352283                     0.150548
Raymond 2014                                          0.069551   0.122305     0.568667      0.56958464                    -0.170168                     0.309270
Raymond 2015                                          0.160251   0.128273     1.249300      0.21156043                    -0.091164                     0.411667
Raymond 2016                                         -0.021306   0.135209    -0.157580      0.87478831                    -0.286317                     0.243705
Raymond 2017                                          0.222607   0.128273     1.735414      0.08267278                    -0.028809                     0.474022
Raymond 2018                                          0.151722   0.143409     1.057966      0.29007546                    -0.129361                     0.432804
Raúl Pérez 2016                                       0.232115   0.181391     1.279635      0.20067849                    -0.123413                     0.587642
