                                                   Coefficient  Std Error      t-value         P-value  Confidence Interval (0.025)  Confidence Interval (0.975)
19 Crimes 2020                                       -0.105958   0.135209    -0.783661      0.43324218                    -0.370970                     0.159053
1924 Wines 2016                                      -0.096091   0.286791    -0.335057      0.73758365                    -0.658203                     0.466021
1924 Wines 2017                                       0.051500   0.234168     0.219926      0.82592962                    -0.407470                     0.510469
1924 Wines 2018                                       0.067553   0.234168     0.288481      0.77297946                    -0.391417                     0.526523
1924 Wines 2019                                       0.022224   0.234168     0.094905      0.92439068                    -0.436746                     0.481193
370 Léguas 2016                                      -0.293604   0.286791    -1.023757      0.30595434                    -0.855716                     0.268508
689-Six Eight Nine 2016                               0.172878   0.286791     0.602801      0.54664370                    -0.389234                     0.734990
689-Six Eight Nine 2017                               0.378785   0.286791     1.320770      0.18658322                    -0.183327                     0.940897
689-Six Eight Nine 2018                               0.331864   0.286791     1.157162      0.24721080                    -0.230248                     0.893976
7 Deadly Wines 2011                                  -0.119012   0.405578    -0.293438      0.76918826                    -0.913946                     0.675922
7 Deadly Wines 2012                                  -0.048788   0.405578    -0.120292      0.90425198                    -0.843722                     0.746146
7 Deadly Wines 2013                                  -0.016062   0.405578    -0.039602      0.96841084                    -0.810995                     0.778872
7 Deadly Wines 2014                                  -0.213776   0.286791    -0.745407      0.45602858                    -0.775888                     0.348336
7 Deadly Wines 2015                                  -0.094414   0.286791    -0.329210      0.74199844                    -0.656526                     0.467698
7 Deadly Wines 2016                                  -0.043563   0.286791    -0.151897      0.87926853                    -0.605675                     0.518549
7 Deadly Wines 2017                                   0.056863   0.286791     0.198273      0.84283234                    -0.505249                     0.618975
7 Moons 2015                                          0.015745   0.286791     0.054900      0.95621854                    -0.546367                     0.577857
AR-Adega de Redondo 2015                             -0.237629   0.122305    -1.942916      0.05203106                    -0.477348                     0.002090
AR-Adega de Redondo 2016                             -0.588396   0.135209    -4.351733   0.00001353***                    -0.853407                    -0.323384
Aalto 2011                                            0.612095   0.286791     2.134289      0.03282326                     0.049983                     1.174207
Aalto 2012                                            0.610164   0.286791     2.127556      0.03337805                     0.048052                     1.172276
Aalto 2013                                            0.561339   0.286791     1.957308      0.05031602                    -0.000773                     1.123451
Aalto 2014                                            0.661179   0.286791     2.305435      0.02114565                     0.099067                     1.223291
Aalto 2015                                            0.626607   0.286791     2.184888      0.02890097                     0.064495                     1.188719
Aalto 2016                                            0.621300   0.286791     2.166386      0.03028569                     0.059188                     1.183412
Aalto 2017                                            0.691964   0.286791     2.412780      0.01583440                     0.129852                     1.254076
Aalto 2018                                            0.708802   0.286791     2.471490      0.01345792                     0.146690                     1.270914
Abadía Retuerta 2010                                  0.512748   0.181391     2.826753      0.00470383                     0.157221                     0.868276
Abadía Retuerta 2011                                  0.498404   0.181391     2.747675      0.00600377                     0.142877                     0.853932
Abadía Retuerta 2012                                  0.475833   0.181391     2.623244      0.00871193                     0.120306                     0.831361
Abadía Retuerta 2013                                  0.456121   0.181391     2.514572      0.01192033                     0.100594                     0.811649
Abadía Retuerta 2014                                  0.537933   0.153308     3.508831     0.00045042*                     0.237448                     0.838418
Abadía Retuerta 2015                                  0.368614   0.165589     2.226074      0.02601302                     0.044058                     0.693170
Abadía Retuerta 2016                                  0.773547   0.181391     4.264526   0.00002006***                     0.418020                     1.129075
Abadía Retuerta 2018                                  0.481700   0.181391     2.655584      0.00791925                     0.126172                     0.837227
Abkhazia 2017                                        -0.429465   0.234168    -1.834006      0.06665819                    -0.888435                     0.029505
Achaval-Ferrer 2009                                   0.385500   0.165589     2.328048      0.01991289                     0.060944                     0.710056
Achaval-Ferrer 2010                                   0.339703   0.153308     2.215812      0.02670817                     0.039218                     0.640188
Achaval-Ferrer 2011                                   0.368270   0.143409     2.567967      0.01023213                     0.087187                     0.649352
Achaval-Ferrer 2012                                   0.264432   0.153308     1.724840      0.08456157                    -0.036053                     0.564917
Achaval-Ferrer 2013                                   0.342491   0.143409     2.388208      0.01693388                     0.061408                     0.623573
Achaval-Ferrer 2014                                   0.498872   0.143409     3.478667     0.00050428*                     0.217790                     0.779955
Achaval-Ferrer 2015                                   0.471473   0.143409     3.287606     0.00101102*                     0.190390                     0.752555
Achaval-Ferrer 2016                                   0.453160   0.153308     2.955874      0.00311907                     0.152675                     0.753645
Achaval-Ferrer 2017                                   0.416387   0.143409     2.903490      0.00369165                     0.135304                     0.697469
Achaval-Ferrer 2018                                   0.502096   0.153308     3.275074     0.00105695*                     0.201611                     0.802581
Adega Cooperativa de Borba 2011                      -0.610048   0.122305    -4.987906  0.00000061****                    -0.849767                    -0.370329
Adega Cooperativa de Borba 2012                      -0.480515   0.122305    -3.928813    0.00008546**                    -0.720234                    -0.240796
Adega Cooperativa de Borba 2013                      -0.571140   0.112508    -5.076436  0.00000039****                    -0.791657                    -0.350624
Adega Cooperativa de Borba 2014                      -0.386862   0.117100    -3.303681     0.00095481*                    -0.616379                    -0.157345
Adega Cooperativa de Borba 2015                      -0.394406   0.104743    -3.765473    0.00016640**                    -0.599702                    -0.189110
Adega Cooperativa de Borba 2016                      -0.470140   0.104743    -4.488522   0.00000719***                    -0.675436                    -0.264844
